date,hour,energy_kWh
2015-06-12,21,1.065
2015-06-12,22,1.268
2015-06-12,23,1.459
2015-06-13,0,0.72
2015-06-13,1,0.708
2015-06-13,2,0.718
2015-06-13,3,0.72
2015-06-13,4,0.7
2015-06-13,5,0.705
2015-06-13,6,0.706
2015-06-13,7,0.703
2015-06-13,8,0.707
2015-06-13,9,1.178
2015-06-13,10,2.201
2015-06-13,11,2.321
2015-06-13,12,1.556
2015-06-13,13,1.464
2015-06-13,14,1.266
2015-06-13,15,1.207
2015-06-13,16,1.12
2015-06-13,17,0.896
2015-06-13,18,2.616
2015-06-13,19,1.159
2015-06-13,20,1.242
2015-06-13,21,1.04
2015-06-13,22,1.068
2015-06-13,23,1.023
2015-06-14,0,0.89
2015-06-14,1,0.881
2015-06-14,2,0.775
2015-06-14,3,0.755
2015-06-14,4,0.761
2015-06-14,5,0.733
2015-06-14,6,0.751
2015-06-14,7,0.741
2015-06-14,8,0.789
2015-06-14,9,1.159
2015-06-14,10,1.257
2015-06-14,11,1.284
2015-06-14,12,1.11
2015-06-14,13,1.283
2015-06-14,14,0.84
2015-06-14,15,0.755
2015-06-14,16,0.769
2015-06-14,17,1.034
2015-06-14,18,1.365
2015-06-14,19,1.771
2015-06-14,20,1.207
2015-06-14,21,1.125
2015-06-14,22,1.091
2015-06-14,23,1.053
2015-06-15,0,0.725
2015-06-15,1,0.749
2015-06-15,2,0.721
2015-06-15,3,0.739
2015-06-15,4,0.695
2015-06-15,5,0.731
2015-06-15,6,0.748
2015-06-15,7,0.841
2015-06-15,8,0.995
2015-06-15,9,1.038
2015-06-15,10,0.796
2015-06-15,11,1.013
2015-06-15,12,2.125
2015-06-15,13,2.25
2015-06-15,14,1.273
2015-06-15,15,1.041
2015-06-15,16,1.027
2015-06-15,17,1.206
2015-06-15,18,1.215
2015-06-15,19,1.426
2015-06-15,20,1.528
2015-06-15,21,1.67
2015-06-15,22,1.097
2015-06-15,23,0.849
2015-06-16,0,1.187
2015-06-16,1,0.782
2015-06-16,2,0.759
2015-06-16,3,0.769
2015-06-16,4,0.765
2015-06-16,5,0.772
2015-06-16,6,0.83
2015-06-16,7,1.242
2015-06-16,8,0.872
2015-06-16,9,0.735
2015-06-16,10,0.853
2015-06-16,11,0.827
2015-06-16,12,0.844
2015-06-16,13,0.861
2015-06-16,14,0.811
2015-06-16,15,0.902
2015-06-16,16,1.099
2015-06-16,17,0.881
2015-06-16,18,1.493
2015-06-16,19,1.613
2015-06-16,20,1.129
2015-06-16,21,1.178
2015-06-16,22,1.36
2015-06-16,23,0.841
2015-06-17,0,0.799
2015-06-17,1,0.795
2015-06-17,2,0.776
2015-06-17,3,0.782
2015-06-17,4,0.807
2015-06-17,5,0.767
2015-06-17,6,0.951
2015-06-17,7,1.388
2015-06-17,8,0.941
2015-06-17,9,0.88
2015-06-17,10,0.93
2015-06-17,11,0.975
2015-06-17,12,0.968
2015-06-17,13,0.896
2015-06-17,14,2.223
2015-06-17,15,1.747
2015-06-17,16,0.756
2015-06-17,17,0.926
2015-06-17,18,2.123
2015-06-17,19,2.904
2015-06-17,20,1.749
2015-06-17,21,1.021
2015-06-17,22,1.008
2015-06-17,23,0.934
2015-06-18,0,0.755
2015-06-18,1,0.748
2015-06-18,2,0.751
2015-06-18,3,0.771
2015-06-18,4,0.839
2015-06-18,5,0.778
2015-06-18,6,0.815
2015-06-18,7,1.301
2015-06-18,8,1.067
2015-06-18,9,0.754
2015-06-18,10,0.752
2015-06-18,11,0.716
2015-06-18,12,0.689
2015-06-18,13,0.714
2015-06-18,14,0.72
2015-06-18,15,0.687
2015-06-18,16,0.634
2015-06-18,17,0.663
2015-06-18,18,1.738
2015-06-18,19,1.234
2015-06-18,20,1.461
2015-06-18,21,1.072
2015-06-18,22,1.223
2015-06-18,23,0.787
2015-06-19,0,0.626
2015-06-19,2,0.576
2015-06-19,3,0.599
2015-06-19,4,0.589
2015-06-19,5,0.648
2015-06-19,6,0.677
2015-06-19,7,1.088
2015-06-19,8,0.862
2015-06-19,9,0.704
2015-06-19,10,0.675
2015-06-19,11,0.824
2015-06-19,12,0.841
2015-06-19,13,0.946
2015-06-19,14,0.781
2015-06-19,15,0.822
2015-06-19,16,0.705
2015-06-19,17,0.872
2015-06-19,18,1.058
2015-06-19,19,2.827
2015-06-19,20,2.474
2015-06-19,21,1.178
2015-06-19,22,1.188
2015-06-19,23,1.296
2015-06-20,0,0.963
2015-06-20,1,0.729
2015-06-20,2,0.748
2015-06-20,3,0.753
2015-06-20,4,0.712
2015-06-20,5,0.743
2015-06-20,6,0.735
2015-06-20,7,0.736
2015-06-20,8,0.752
2015-06-20,9,0.723
2015-06-20,10,1.246
2015-06-20,11,1.169
2015-06-20,12,1.038
2015-06-20,13,1.118
2015-06-20,14,1.287
2015-06-20,15,1.107
2015-06-20,16,0.8
2015-06-20,17,1.486
2015-06-20,18,2.177
2015-06-20,19,1.367
2015-06-20,20,1.156
2015-06-20,21,1.086
2015-06-20,22,1.26
2015-06-20,23,1.203
2015-06-21,0,0.794
2015-06-21,1,0.742
2015-06-21,2,0.701
2015-06-21,3,0.721
2015-06-21,4,0.718
2015-06-21,5,0.702
2015-06-21,6,0.7
2015-06-21,7,0.708
2015-06-21,8,0.832
2015-06-21,9,1.075
2015-06-21,10,1.113
2015-06-21,11,1.047
2015-06-21,12,2.01
2015-06-21,13,1.064
2015-06-21,14,1.047
2015-06-21,15,1.036
2015-06-21,16,1.103
2015-06-21,17,1.38
